account_id,account_hash,account_type,region,balance,opened_date,holder_age
1,14d2b15c9255,business,APAC,55423.43,2020-08-01,80
2,54c825e92583,savings,EU-East,426629.08,2021-04-30,59
3,5fcb7a1cd180,business,APAC,149524.4,2019-05-21,60
4,7693bb05283c,checking,APAC,337810.91,2020-10-15,63
5,61ec2ebc9040,business,US-West,350777.45,2022-08-11,42
6,bc88225b6e74,business,EU-West,266979.9,2020-01-25,66
7,3fdc21e06ff1,business,US-Central,287415.6,2018-12-16,24
8,fe11b6f441e5,savings,EU-West,102149.59,2018-10-11,57
9,4c93f20df7dc,business,EU-East,445565.45,2020-11-04,28
10,7d26708af23b,savings,US-West,301211.75,2019-12-05,60
11,b83e66800ce5,business,APAC,4615.33,2020-06-10,46
12,3a5de31587b2,savings,US-West,289707.85,2022-02-20,56
13,1b500266bd57,savings,US-Central,313738.05,2018-02-16,27
14,38ac9fc86548,business,EU-West,211583.38,2022-04-16,37
15,1e2a154deb57,savings,EU-East,309406.07,2018-05-09,49
16,8acbf910ed91,business,US-East,276667.57,2018-02-14,56
17,048de408344a,savings,APAC,339889.86,2020-07-25,34
18,69e06d1c2819,savings,APAC,308941.69,2021-02-19,54
19,0f722cef8694,savings,US-Central,37726.46,2019-08-06,50
20,fa2264bd087d,business,EU-East,423505.25,2019-02-01,25
21,dd30bf9231ca,savings,US-West,144558.73,2020-04-21,47
22,ee299513193b,business,US-Central,103208.32,2020-11-28,64
23,66cb3f93bb21,business,EU-East,53498.24,2021-04-05,42
24,3903ea951d25,business,EU-East,14074.39,2019-08-23,36
25,f4a877e9aae2,checking,EU-East,83415.98,2019-10-10,58
26,cd2af1fd5dce,savings,US-East,163400.84,2020-11-20,28
27,719b99b6090c,checking,US-West,199295.95,2018-08-31,79
28,ac0e1fb1fee9,checking,EU-West,200167.36,2020-07-28,53
29,8d0c5267652c,checking,US-East,419949.65,2021-05-17,29
30,c9a126e6aa56,business,US-Central,179348.77,2019-07-09,24
31,0a7c7f1118f1,checking,US-East,278185.35,2022-04-27,52
32,dd36244162b7,business,US-West,437479.52,2021-03-19,69
33,d1000476a724,savings,EU-West,152630.12,2018-03-26,70
34,418932615cc7,business,US-West,309465.3,2021-01-12,65
35,a5ab5b2e87c4,savings,APAC,497422.25,2020-08-28,53
36,e7b86b4b4750,savings,US-West,7382.99,2019-12-13,77
37,faeecd2ae211,savings,US-East,23716.92,2020-07-04,31
38,3030ce149658,business,US-Central,360129.9,2018-04-05,66
39,59e723046ea9,savings,US-East,296127.72,2021-10-22,73
40,7d85623659f5,business,US-Central,322560.15,2022-05-14,19
41,4c0ec691678d,savings,US-Central,48635.99,2020-01-03,34
42,54101dfecd16,business,US-West,412751.46,2022-04-21,80
