merchant_id,merchant_name,category,region
1,"Rodriguez, Figueroa and Sanchez",gaming,EU-West
2,Doyle Ltd,online,EU-West
3,"Mcclain, Miller and Henderson",travel,US-East
4,Davis and Sons,retail,US-West
5,"Guzman, Hoffman and Baldwin",retail,US-East
6,"Gardner, Robinson and Lawrence",retail,US-West
7,Blake and Sons,travel,APAC
8,"Henderson, Ramirez and Lewis",utilities,US-East
9,Garcia-James,travel,US-Central
10,Abbott-Munoz,online,US-Central
11,Blair PLC,gaming,EU-West
12,Dudley Group,gaming,US-West
13,Arnold Ltd,grocery,US-Central
14,"Mcclure, Ward and Lee",restaurant,US-East
15,Williams and Sons,travel,APAC
16,Galloway-Wyatt,utilities,EU-East
17,James Group,online,US-East
18,"Flowers, Martin and Kelly",gaming,EU-West
19,"Adams, Zuniga and Wong",utilities,US-East
20,"Reid, Ferguson and Sanchez",gaming,US-East
21,Gray-Mayo,crypto,US-East
22,"Watts, Robinson and Nguyen",utilities,EU-West
23,Perez Inc,grocery,EU-East
24,Morales-Jones,utilities,EU-East
25,"Walter, Edwards and Rios",online,EU-West
26,Wilkerson-Day,travel,EU-West
27,Baker and Sons,crypto,EU-West
28,"Hoffman, Baker and Richards",crypto,US-West
29,"Ross, Robinson and Bright",retail,US-West
30,"Snyder, Campos and Callahan",grocery,APAC
31,Burton Ltd,utilities,APAC
32,Carlson-Cruz,restaurant,US-West
33,"Ferrell, Rice and Maddox",retail,US-East
34,Frazier Inc,utilities,EU-East
35,"Dyer, Potter and Mack",online,US-Central
36,Rodriguez-Graham,crypto,EU-West
37,Smith-Bowen,retail,EU-West
38,"Baker, Mason and White",retail,US-East
39,Harrell LLC,gaming,US-Central
40,"Romero, Gonzalez and Brooks",restaurant,EU-West
41,Ryan PLC,restaurant,US-West
42,George Group,retail,US-East
43,Rodriguez LLC,grocery,APAC
44,Allen-Allen,utilities,APAC
45,"Arroyo, Miller and Tucker",utilities,EU-East
46,Spence PLC,crypto,EU-East
47,Anderson Group,retail,US-East
48,"Martin, Rose and Obrien",grocery,US-Central
49,Hickman Ltd,grocery,EU-West
50,"Harris, Collins and Carney",gaming,US-West
51,"Brooks, Lam and Hayes",retail,EU-West
52,Walker LLC,gaming,US-Central
53,Chapman and Sons,restaurant,US-East
54,"Robinson, Jones and Welch",online,APAC
55,Jones Inc,crypto,US-West
56,Jones-Young,grocery,EU-East
57,"Washington, Ryan and Cummings",gaming,EU-West
58,"Johnston, Sanchez and Kennedy",travel,EU-East
59,Lee-Davis,travel,US-Central
60,Gomez-Jenkins,online,US-West
61,"Brown, Valdez and Lucas",online,US-West
62,Powell LLC,online,US-Central
63,Wright and Sons,retail,US-Central
64,"West, Henderson and Ramirez",crypto,US-Central
65,Baxter Inc,grocery,EU-East
66,Morton-Chase,online,US-West
67,Williams PLC,gaming,EU-East
68,Novak and Sons,crypto,US-East
69,Russell Group,online,EU-East
70,Hancock Inc,retail,US-Central
71,Gray Group,travel,EU-East
72,House-Glover,restaurant,EU-East
73,Henderson-Bernard,utilities,US-West
74,"Stanley, Tucker and Lee",travel,EU-West
75,Novak PLC,online,US-East
76,"Daniels, Adkins and Brown",gaming,EU-West
77,"Woods, Calhoun and Schmidt",utilities,EU-West
78,Yu Inc,gaming,US-East
79,"Hensley, Powell and David",restaurant,APAC
80,"Sanchez, Wheeler and Harvey",crypto,US-East
81,Sandoval-Cunningham,utilities,APAC
82,Donovan-Harris,crypto,US-West
83,"Edwards, Baker and Anderson",travel,APAC
84,"Evans, Stewart and Walton",restaurant,US-East
85,Smith PLC,retail,US-Central
86,"Ferrell, Jones and Lewis",online,EU-East
87,Anderson-Bailey,restaurant,US-West
88,Suarez LLC,crypto,APAC
89,Moore-Bass,gaming,US-East
